model,precision,resolution,hardware,fps,latency_ms,size_mb,map50,A_norm,F_norm,S_norm,utility,feasible,constraint_violation,pareto_optimal
YOLOv8m,FP32,320,GPU2,56.2887,17.76555507588557,98.88,0.66091,0.6285801092280674,0.756573976893579,0.9937610481439118,0.342510038053325,False,0.9775999999999999,False
YOLOv8s,INT8 Dynamic,320,GPU1,48.6796,20.542485969482083,42.67,0.614213,0.4555603310929477,0.6529925769227104,0.4092752417593844,0.34182289027141005,False,0.03578700000000001,False
YOLOv8s,INT8 Dynamic,320,CPU2,47.6578,20.98292409637037,42.67,0.614228,0.4556159084677689,0.6390829851851549,0.4092752417593844,0.33767780143755405,False,0.035772000000000026,False
YOLOv8s,FP32,320,CPU2,47.6566,20.983452449398406,42.67,0.614228,0.4556159084677689,0.639066649786755,0.4092752417593844,0.337672900818034,False,0.035772000000000026,False
YOLOv8m,FP16,320,CPU2,28.3625,35.25782282944028,49.45,0.663455,0.6380097371560688,0.3764193078963955,0.47977539773318084,0.33597558140031686,True,0.0,False
YOLOv8n,INT8 Dynamic,320,GPU2,74.1708,13.482394689015084,12.14,0.518815,0.10209563754659255,1.0,0.09181657481543101,0.3326845038102101,False,0.131185,True
YOLOv8s,INT8 Static,320,GPU2,51.9161,19.261847480839275,11.02,0.564533,0.27148806568504663,0.6970505076905694,0.08017053135073307,0.32882507887954754,False,0.08546700000000007,True
YOLOv8m,FP16,320,GPU1,28.2521,35.39559891123138,49.45,0.659276,0.622525880530875,0.3749164512436003,0.47977539773318084,0.3277827960918814,True,0.0,False
YOLOv8n,INT8 Dynamic,320,GPU1,68.7856,14.537926542764763,12.14,0.521454,0.11187355035680673,0.9266921771138347,0.09181657481543101,0.31558111334946753,False,0.12854600000000005,True
YOLOv8n,FP32,320,GPU2,69.8035,14.325929215583743,12.14,0.518815,0.10209563754659255,0.9405486788065902,0.09181657481543101,0.31484910745218714,False,0.131185,False
YOLOv8n,FP32,320,GPU1,68.4923,14.600181334252172,12.14,0.521454,0.11187355035680673,0.9226995334882474,0.09181657481543101,0.3143833202617914,False,0.12854600000000005,False
YOLOv8m,INT8 Dynamic,1280,GPU1,5.1728,193.3188988555521,99.48,0.757285,0.985664742454445,0.06074181766700562,1.0,0.31105491652732414,False,1.9227889885555212,False
YOLOv8m,FP32,1280,GPU1,5.1672,193.52840997058368,99.48,0.757285,0.985664742454445,0.06066558580780587,1.0,0.31103204696956427,False,1.924884099705837,False
YOLOv8n,FP32,320,CPU2,67.3956,14.837763889630777,12.14,0.521438,0.11181426782366403,0.9077703406338952,0.09181657481543101,0.30987492113891435,False,0.12856200000000007,False
YOLOv8n,FP16,320,GPU2,63.8759,15.655356715130432,6.08,0.520139,0.10700126716414608,0.8598572558436485,0.028803161068940417,0.3056971781213795,False,0.129861,True
YOLOv8n,INT8 Dynamic,320,CPU1,66.2173,15.101793640030628,12.14,0.521438,0.11181426782366403,0.8917303406883463,0.09181657481543101,0.3050629211552497,False,0.12856200000000007,False
YOLOv8m,INT8 Static,320,GPU1,24.4121,40.9632927933279,25.22,0.626899,0.5025639695584192,0.32264317636376755,0.22782572527815326,0.3025097926327092,False,0.023101000000000038,False
YOLOv8m,FP32,1280,CPU2,2.8821,346.9692238298463,99.48,0.757325,0.9858129487873017,0.02955890340470541,1.0,0.3017741454150625,False,3.459292238298463,False
YOLOv8m,INT8 Dynamic,1280,CPU2,2.5723,388.75714341251023,99.48,0.757325,0.9858129487873017,0.025341648051118902,1.0,0.30050896880898653,False,3.8771714341251027,False
YOLOv8n,INT8 Dynamic,320,CPU2,64.7625,15.441034549314804,12.14,0.521438,0.11181426782366403,0.8719263926948099,0.09181657481543101,0.2991217367571888,False,0.12856200000000007,False
YOLOv8n,FP16,320,CPU1,61.7969,16.1820414939908,6.08,0.520598,0.10870193483367555,0.831556178115739,0.028803161068940417,0.29805718863777136,False,0.12940200000000002,True
YOLOv8m,INT8 Dynamic,640,GPU1,16.7324,59.76428964165333,99.0,0.723554,0.8606860471147934,0.21810071045370208,0.9950088385151294,0.2967714689904814,False,0.98,False
YOLOv8n,FP32,320,CPU1,64.1732,15.582828969102367,12.14,0.521438,0.11181426782366403,0.8639043507972354,0.09181657481543101,0.2967151241879164,False,0.12856200000000007,False
YOLOv8m,FP32,1280,CPU1,0.999,1001.001001001001,99.48,0.757325,0.9858129487873017,0.003924579465587441,1.0,0.2940838482333271,False,9.99961001001001,False
YOLOv8m,INT8 Dynamic,1280,CPU1,0.7726,1294.3308309603935,99.48,0.757325,0.9858129487873017,0.000842634300797303,1.0,0.29315926468389003,False,12.932908309603935,False
YOLOv8s,INT8 Static,320,GPU1,42.95,23.28288707799767,11.02,0.564701,0.27211053228304455,0.5749964946957601,0.08017053135073307,0.29252010828010366,False,0.08529900000000001,True
YOLOv8s,FP32,320,CPU1,35.7109,28.002654651660976,42.67,0.614547,0.4567978539723001,0.4764518425648754,0.4092752417593844,0.2894794314037357,False,0.03545300000000007,False
YOLOv8n,FP16,320,CPU2,57.9423,17.258548590580627,6.09,0.520132,0.10697533105589625,0.7790841558887069,0.02890714359987522,0.28143148357458514,False,0.12986799999999998,False
YOLOv8m,FP32,640,GPU1,12.9254,77.36704473362526,99.0,0.723554,0.8606860471147934,0.16627665902986793,0.9950088385151294,0.28122425356333114,False,0.98,False
YOLOv8s,FP16,320,CPU1,21.8552,45.75570116036458,21.35,0.614515,0.4566792889060151,0.2878365262230789,0.18758448580638457,0.2771737051586543,False,0.03548499999999999,False
YOLOv8m,INT8 Dynamic,640,CPU2,11.1965,89.31362479346224,99.0,0.723569,0.8607416244896146,0.14274143378514326,0.9950088385151294,0.27419147467732435,False,0.98,False
YOLOv8m,FP32,640,CPU2,10.9177,91.59438343240792,99.0,0.723569,0.8607416244896146,0.1389461762235554,0.9950088385151294,0.27305289740884797,False,0.98,False
YOLOv8m,INT8 Static,320,CPU2,16.4254,60.88131795877117,25.22,0.628468,0.5083773629647196,0.21392157102971546,0.22782572527815326,0.2728000077356438,False,0.021531999999999996,False
YOLOv8m,FP16,320,CPU1,11.0203,90.74163135304846,49.45,0.663453,0.6380023268394257,0.14034285278675093,0.47977539773318084,0.26514893970910197,True,0.0,False
YOLOv8n,INT8 Static,320,GPU2,57.1072,17.510926818334642,3.31,0.505161,0.051505405825990926,0.7677160798855432,0.0,0.2560675268786584,False,0.14483900000000005,True
